0.00	 1.00	  0.00000e+00
1.50	 1.00	  2.23572e+01
3.00	 1.00	  5.58838e+01
4.50	 0.00	  9.55811e+01
6.00	 0.00	  1.14368e+02
7.50	 0.50	  1.19037e+02
9.00	 0.50	  1.22351e+02
10.50	 0.50	  1.22186e+02
12.00	 0.00	  1.20703e+02
13.50	 0.00	  1.08398e+02
15.00	 1.00	  9.18457e+01
16.50	 1.00	  9.63501e+01
18.00	 0.50	  1.12646e+02
19.50	 0.50	  1.26874e+02
21.00	 0.00	  1.40497e+02
22.50	 0.00	  1.40240e+02
24.00	 0.00	  1.30847e+02
25.50	 0.00	  1.14441e+02
27.00	 0.50	  9.43726e+01
28.50	 1.00	  8.47961e+01
30.00	 1.00	  9.40613e+01
31.50	 1.00	  1.15594e+02
33.00	 1.00	  1.45587e+02
34.50	 0.00	  1.78711e+02
36.00	 0.00	  1.88324e+02
37.50	 0.00	  1.82263e+02
39.00	 0.50	  1.63440e+02
40.50	 0.50	  1.47546e+02
42.00	 0.50	  1.34161e+02
43.50	 0.50	  1.25629e+02
45.00	 0.00	  1.22552e+02
46.50	 0.00	  1.13159e+02
48.00	 0.00	  1.01935e+02
49.50	 0.00	  8.92822e+01
51.00	 1.00	  7.62268e+01
52.50	 1.00	  8.61694e+01
54.00	 1.00	  1.08545e+02
55.50	 1.00	  1.39233e+02
57.00	 1.00	  1.73035e+02
58.50	 0.50	  2.05884e+02
60.00	 0.50	  2.22711e+02
61.50	 0.00	  2.27655e+02
63.00	 0.00	  2.11084e+02
64.50	 0.00	  1.82355e+02
66.00	 0.00	  1.47052e+02
67.50	 0.20	  1.11273e+02
69.00	 0.30	  8.43567e+01
70.50	 0.30	  6.87561e+01
72.00	 0.40	  6.35925e+01
73.50	 0.40	  6.90125e+01
75.00	 0.60	  8.09326e+01
76.50	 0.60	  1.00195e+02
78.00	 0.70	  1.21143e+02
79.50	 0.70	  1.43115e+02
81.00	 0.70	  1.62616e+02
82.50	 0.90	  1.77960e+02
84.00	 0.90	  1.93396e+02
85.50	 0.90	  2.06763e+02
87.00	 1.00	  2.17969e+02
88.50	 1.00	  2.29541e+02
90.00	 1.00	  2.40527e+02
